,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1438925260,0.0,4,8,-37.816519799999995,145.0049966,-37.8158343,145.04645,4196.0,2018-07-25,01:41:44,1353.6,2:04:17,12.2
1,ID3157840257,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-01-09,00:36:06,11407.86,3:46:13,62.36
2,ID5143765473,,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-04,15:04:19,12681.060000000005,18:35:40,1268.16
3,ID3434042218,1.0,7,4,-37.8618349,144.90571599999998,-37.8059765,145.01378,12734.0,2018-05-17,20:01:24,3985.6799999999976,21:07:49,25.73
4,ID1184281004,,5,6,-37.802594899999995,144.92981880000002,-37.7874421,144.9804091,6105.0,2018-05-22,14:04:04,1569.7800000000002,14:30:13,9.73
5,ID5686600390,,6,3,-37.7874325,144.9803767,-37.8105239,144.98531409999998,3178.0,2018-04-28,03:01:29,758.1600000000003,3:14:07,109.74
6,ID3233898697,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-05-06,21:28:40,12681.059999999998,1:00:01,71.04
7,ID1502570356,0.0,3,1,-37.8163696,144.98524650000002,-37.8051354,144.97223530000002,2161.0,2018-07-04,14:23:19,512.22,14:31:51,7.58
8,ID3448927908,,5,2,-37.8052448,144.93730530000002,-37.821748799999995,144.9368226,2650.0,2018-06-03,01:01:47,610.98,1:11:57,19.33
9,ID3677364581,,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-03-05,14:51:41,11535.780000000008,18:03:56,59.07
10,ID1602305522,,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-02-17,03:18:38,13204.979999999996,6:58:42,32.77
11,ID5403333658,2.0,5,7,-37.8007583,144.93441669999999,-37.8618349,144.90571599999998,13807.0,2018-04-22,05:37:31,4311.120000000001,6:49:22,459.18
12,ID3381561693,,4,7,-37.8028947,144.99639209999998,-37.8618349,144.90571599999998,11366.0,2018-04-09,17:44:35,3699.300000000001,18:46:14,26.1
13,ID1250278748,0.0,4,7,-37.8079234,144.9921256,-37.8618349,144.90571599999998,10535.0,2018-06-04,01:40:47,3511.8,2:39:18,15.44
14,ID3613676255,1.0,1,5,-37.8151638,144.9636136,-37.804539299999995,144.9281603,3819.0,2018-06-24,11:01:13,1019.4,11:18:12,13.6
15,ID1291747590,0.0,7,6,-37.8618349,144.90571599999998,-37.773845,144.9836895,13169.0,2018-03-06,21:32:16,3863.5799999999986,22:36:39,15.82
16,ID3776097091,1.0,5,1,-37.804508,144.9376613,-37.800736900000004,144.9517619,3488.0,2018-04-02,07:21:03,832.9800000000004,7:34:55,9.84
17,ID1724133369,,4,9,-37.81363579999999,145.0000791,-38.1109156,144.65417250000002,47028.0,2018-06-16,11:34:08,11257.2,14:41:45,24.5
18,ID5960929442,2.0,3,7,-37.8134021,144.9739325,-37.8618349,144.90571599999998,8613.0,2018-01-06,07:21:08,2922.12,8:09:50,305.81
19,ID5974190962,2.0,1,8,-37.8134932,144.9656098,-37.8158343,145.04645,7494.0,2018-07-02,20:21:42,2130.9000000000005,20:57:12,228.94
20,ID3562407977,1.0,4,9,-37.8000018,144.9888741,-38.1109156,144.65417250000002,46613.0,2018-04-20,13:37:24,11232.84,16:44:36,56.08
21,ID1934618649,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-06-07,07:09:14,12681.060000000005,10:40:35,20.94
22,ID3214536357,,3,7,-37.82691320000001,144.9895501,-37.8618349,144.90571599999998,9558.0,2018-01-22,06:30:46,3144.18,7:23:10,19.54
23,ID3582092564,1.0,1,7,-37.8151312,144.9662281,-37.8618349,144.90571599999998,8005.0,2018-07-03,22:22:38,2773.74,23:08:51,25.64
24,ID3496138618,1.0,3,7,-37.8200819,144.9685729,-37.8618349,144.90571599999998,7595.0,2018-04-14,15:20:37,2650.38,16:04:47,23.33
25,ID5667765164,2.0,6,2,-37.7874421,144.9804091,-37.816168499999996,144.9337101,6236.0,2018-01-27,13:46:03,1575.8999999999994,14:12:18,182.28
26,ID3444628721,,3,5,-37.8165571,145.00575769999998,-37.8053799,144.9372176,6692.0,2018-06-16,17:21:34,1680.6600000000005,17:49:34,19.61
27,ID3735111385,1.0,2,6,-37.819719299999996,144.941013,-37.7874421,144.9804091,6007.0,2018-07-18,18:42:45,1554.66,19:08:39,14.75
28,ID5699257827,2.0,4,9,-37.8109632,145.00472119999998,-38.1109156,144.65417250000002,47323.0,2018-07-24,03:01:24,11464.86,6:12:28,1156.66
29,ID3840713248,1.0,4,7,-37.801528499999996,144.99282580000002,-37.8618349,144.90571599999998,11208.0,2018-05-07,20:58:22,3654.84,21:59:16,26.11
30,ID1334464531,0.0,3,6,-37.8134461,144.9847269,-37.7908183,144.9857929,2899.0,2018-02-12,16:35:41,688.8600000000001,16:47:09,8.24
31,ID1491424722,0.0,1,7,-37.8118875,144.97789699999998,-37.8618349,144.90571599999998,8993.0,2018-06-02,07:30:41,3067.2,8:21:48,10.75
32,ID3172901320,,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-05-18,15:27:07,12099.660000000005,18:48:46,61.1
33,ID1619903486,,9,2,-38.1109156,144.65417250000002,-37.8129301,144.93724319999998,42836.0,2018-03-03,18:53:39,10265.579999999996,21:44:44,26.92
34,ID3428058606,,1,2,-37.825197700000004,144.9568852,-37.824154799999995,144.94391230000002,1353.0,2018-02-21,14:40:16,306.78,14:45:22,9.72
35,ID1135061250,,4,8,-37.795314399999995,144.99374550000002,-37.8158343,145.04645,6512.0,2018-05-14,11:50:56,2086.02,12:25:42,6.89
36,ID3516635507,1.0,5,9,-37.81730039999999,144.92579719999998,-38.1109156,144.65417250000002,43802.0,2018-03-01,12:42:36,10514.94,15:37:50,54.6
37,ID3932164493,,7,1,-37.8618349,144.90571599999998,-37.8157316,144.963445,7932.0,2018-06-04,09:36:48,2757.78,10:22:45,16.82
38,ID3174039724,,4,5,-37.8105932,145.0007346,-37.8051789,144.9372875,5768.0,2018-03-24,20:27:31,1486.56,20:52:17,19.92
39,ID1193993255,0.0,7,1,-37.8618349,144.90571599999998,-37.7997629,144.96351830000003,9832.0,2018-02-02,20:17:16,3199.979999999997,21:10:35,11.82
40,ID1126746371,0.0,9,2,-38.1109156,144.65417250000002,-37.8241224,144.93628069999997,43263.0,2018-03-06,05:27:35,10452.119999999997,8:21:47,24.98
41,ID5289536431,,2,7,-37.8148044,144.9358843,-37.8618349,144.90571599999998,10700.0,2018-02-06,22:15:32,3488.0400000000004,23:13:40,371.42
42,ID3560981580,1.0,9,1,-38.1109156,144.65417250000002,-37.8152867,144.9654564,43609.0,2018-05-06,19:02:24,10503.42,21:57:27,57.76
43,ID3846762574,,4,8,-37.8124455,145.0151244,-37.8158343,145.04645,4495.0,2018-04-18,14:01:48,1436.2800000000002,14:25:44,15.11
44,ID1625604925,0.0,3,5,-37.8216861,144.9898245,-37.8037477,144.9307499,6306.0,2018-02-19,13:08:22,1556.7599999999993,13:34:18,8.52
45,ID1650764511,0.0,6,5,-37.7908183,144.9857929,-37.8028221,144.9295031,6320.0,2018-05-25,05:12:50,1647.12,5:40:17,13.27
46,ID3154459697,1.0,6,4,-37.773845,144.9836895,-37.8096666,144.9926783,5909.0,2018-06-15,23:46:06,1272.9,0:07:18,18.37
47,ID1894751433,0.0,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-07-05,12:51:35,2438.2200000000007,13:32:13,10.63
48,ID3470173486,1.0,7,6,-37.8618349,144.90571599999998,-37.7908183,144.9857929,11712.0,2018-05-10,15:21:34,3700.9799999999987,16:23:14,26.68
49,ID1169918916,,1,3,-37.81868789999999,144.9670361,-37.8151172,144.98408840000002,1777.0,2018-04-27,04:44:08,475.44,4:52:03,9.96
50,ID1136445437,0.0,5,2,-37.802884399999996,144.933945,-37.8120843,144.9384611,1367.0,2018-01-26,06:48:56,363.9,6:54:59,3.36
51,ID1116911844,0.0,3,9,-37.8188847,144.96769799999998,-38.1109156,144.65417250000002,43833.0,2018-01-03,21:54:36,10557.96,0:50:33,25.86
52,ID5311093598,2.0,9,3,-38.1109156,144.65417250000002,-37.8134021,144.9739325,44340.0,2018-05-10,09:08:31,10623.96,12:05:34,1057.47
