,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1829717167,0,3,6,-37.8179401,144.9692968,-37.7907967,144.985865,4191.0,2018-07-11,14:28:09,1170.48,14:47:39,10.59
ID5333742069,2,3,9,-37.8190269,145.0038187,-38.1109156,144.6541725,47117.0,2018-03-21,22:38:38,11433.42,1:49:11,1089.69
ID1430691620,0,1,7,-37.8209334,144.961432,-37.8618349,144.905716,7455.5,2018-06-13,10:14:33,2646.48,10:58:39,7.11
ID1139559515,0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-02-20,04:09:07,5320.6799999999985,5:37:47,22.25
ID1513527804,0,2,3,-37.8180705,144.94879,-37.8239244,144.984682,3719.9,2018-04-04,06:43:09,950.2800000000001,6:58:59,6.25
ID1331582912,0,7,5,-37.8618349,144.905716,-37.8130106,144.93361,11359.4,2018-06-06,23:09:56,3712.379999999998,0:11:48,19.47
ID3464986003,1,1,4,-37.815595,144.9582182,-37.8112366,145.0073593,4718.0,2018-01-02,09:33:48,1073.88,9:51:41,9.8
ID5374908994,2,2,7,-37.8102905,144.9394264,-37.8618349,144.905716,10259.6,2018-07-19,23:45:27,3364.7400000000002,0:41:31,340.3
ID3642928317,1,6,4,-37.7738026,144.9836466,-37.8111528,144.9995624,9485.4,2018-02-15,09:39:01,2899.1400000000003,10:27:20,18.58
ID1289258979,0,2,7,-37.8166181,144.9281374,-37.8618349,144.905716,11497.0,2018-01-21,10:42:01,3717.0,11:43:58,16.58
ID1982982752,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-05-22,00:26:21,13173.359999999999,4:05:54,33.44
ID5366298786,2,1,4,-37.8075549,144.9655981,-37.8004966,144.9998066,3805.0,2018-02-26,13:32:25,984.4200000000003,13:48:49,111.09
ID5383690091,2,1,1,-37.8618349,144.905716,-37.8008221,144.9722912,10033.0,2018-01-01,19:46:12,3300.8999999999987,20:41:12,327.54
ID1863891572,0,8,4,-37.807202,145.0266373,-37.8101225,144.996586,3275.0,2018-04-02,16:44:04,772.9200000000002,16:56:56,8.55
ID1528875747,0,2,9,-37.8148837,144.9448938,-38.1109156,144.6541725,41934.0,2018-03-19,13:38:56,10089.24,16:27:05,22.87
ID3418594483,1,7,5,-37.8618349,144.905716,-37.8117547,144.9361055,10545.0,2018-03-22,14:38:30,3432.539999999998,15:35:42,26.91
ID3511584998,1,8,1,-37.8158343,145.04645,-37.8102978,144.9613754,7616.0,2018-01-15,01:24:23,2185.3199999999997,2:00:48,24.19
ID3216834360,1,6,1,-37.7874421,144.9804091,-37.81322,144.9390609,6250.0,2018-02-06,03:44:39,1593.7799999999993,4:11:12,20.54
ID5386368571,2,4,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-02-25,04:15:56,4213.5599999999995,5:26:09,427.02
ID1609207579,0,1,4,-37.8201538,144.9669628,-37.816506,145.0056917,3978.0,2018-05-24,13:13:30,1001.9399999999999,13:30:11,9.02
ID1899952737,0,3,1,-37.8235474,144.9982964,-37.8112768,144.9730519,2989.0,2018-07-22,05:39:58,761.2199999999999,5:52:39,19.0
ID3850431042,1,3,8,-37.8170755,144.9832608,-37.8158343,145.04645,6267.0,2018-06-02,22:38:17,1847.1000000000004,23:09:04,26.87
ID5776856541,2,8,4,-37.8158343,145.04645,-37.8116794,145.0072895,3532.0,2018-01-12,07:42:58,1179.0,8:02:37,118.7
ID3804590128,1,3,8,-37.8091161,144.9865469,-37.8158343,145.04645,5339.0,2018-03-03,11:38:45,1604.4,12:05:29,17.38
ID1674569584,0,4,8,-37.8167618,144.9318636,-37.8158343,145.04645,10727.0,2018-02-04,13:27:57,2998.4400000000005,14:17:55,17.01
ID3900092760,1,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-01-08,04:18:48,4911.599999999998,5:40:39,34.68
ID5139758343,2,8,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-06-02,13:50:45,12099.660000000003,17:12:24,1151.23
ID3122957112,1,2,6,-37.8150478,144.9275946,-37.7907967,144.985865,7992.0,2018-05-25,18:31:18,2153.7600000000007,19:07:11,17.05
ID3339171110,1,7,6,-37.8618349,144.905716,-37.7874421,144.9804091,11630.0,2018-04-02,19:27:58,3678.539999999999,20:29:16,28.1
ID3202084810,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-07-12,04:40:25,12681.059999999998,8:11:46,72.46
ID5887313121,2,3,4,-37.8233466,144.9885053,-37.8099179,144.9360412,5382.0,2018-06-02,16:37:43,1361.5800000000004,17:00:24,154.71
ID3367475897,1,9,3,-38.1109156,144.6541725,-37.8159637,144.9722723,44278.0,2018-05-25,10:31:22,10653.839999999991,13:28:55,52.39
ID5785276328,2,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169.0,2018-03-16,17:20:36,3866.460000000001,18:25:02,379.11
ID3938713926,1,9,4,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-09,17:38:12,12681.060000000005,21:09:33,64.97
ID1255300750,0,3,8,-37.8116657,144.9832726,-37.8161952,144.9287407,6220.0,2018-06-22,02:57:57,1528.800000000001,3:23:25,14.33
ID1411174390,0,5,1,-37.8002664,144.9356903,-37.8186923,144.9478945,4098.0,2018-03-03,02:50:37,948.8400000000003,3:06:25,18.5
ID1790726671,0,4,4,-37.8104621,145.0130671,-37.8167982,144.9692946,4731.0,2018-05-26,09:33:45,1200.5400000000004,9:53:45,12.75
ID1134632428,0,9,3,-38.1109156,144.6541725,-37.8126411,144.9779078,44738.0,2018-03-19,16:20:39,10707.24,19:19:06,25.61
ID1177837246,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-04,13:00:48,13204.979999999994,16:40:52,33.74
ID3419885562,1,4,7,-37.7998656,145.0027997,-37.8618349,144.905716,12348.0,2018-01-05,04:25:42,3925.260000000001,5:31:07,32.52
ID1143461248,0,5,2,-37.8163947,144.9285102,-37.8236763,144.9377404,2039.0,2018-05-23,07:33:36,477.89999999999986,7:41:33,4.92
ID3150264960,1,4,5,-37.8055058,144.997886,-37.804721,144.9274749,6744.0,2018-01-03,12:22:12,1732.9199999999996,12:51:04,18.4
ID3545944991,1,2,7,-37.8094204,144.9316707,-37.8023426,144.9436552,1599.0,2018-02-27,11:05:23,397.38000000000005,11:12:00,4.04
